예보일시,시도명,시군구명,읍면동명,실효습도,풍속,등급
2017-01-17 15:00,강원도,인제군,북면,34.6,7.3,주의보
2017-01-23 11:00,경상북도,포항시 남구,장기면,30.9,7.3,주의보
2017-01-24 14:00,전라남도,여수시,경호동,36.2,7.3,주의보
2017-01-27 10:00,경상북도,포항시 북구,기계면,34.2,8.4,주의보
2017-01-27 10:00,경상북도,경주시,안강읍,34.1,7.8,주의보
2017-01-27 10:00,경상북도,경주시,강동면,30.2,7.5,주의보
2017-01-27 11:00,전라남도,여수시,경호동,37.6,7.4,주의보
2017-01-27 11:00,경상북도,경주시,천군동,33.6,7.5,주의보
2017-01-27 12:00,전라남도,여수시,오림동,40.1,7.2,주의보
2017-01-27 12:00,전라남도,여수시,경호동,37,7.2,주의보
2017-01-27 12:00,전라남도,여수시,돌산읍,34.7,7,주의보
2017-01-27 12:00,전라남도,여수시,돌산읍,36.9,8.8,주의보
2017-01-27 12:00,전라남도,여수시,돌산읍,35,7.2,주의보
2017-01-27 14:00,전라남도,여수시,돌산읍,33.7,7.1,주의보
2017-01-27 14:00,전라남도,여수시,돌산읍,35.5,7,주의보
2017-01-27 15:00,경상북도,청송군,청송읍,39.1,7.5,주의보
2017-01-27 16:00,전라남도,여수시,오림동,37.6,8.3,주의보
2017-01-27 16:00,전라남도,여수시,경호동,34.8,7.6,주의보
2017-01-27 16:00,전라남도,여수시,신기동,39.8,8.3,주의보
2017-01-27 16:00,전라남도,여수시,평여동,41.1,8.4,주의보
2017-01-27 16:00,전라남도,여수시,월내동,42.2,7.4,주의보
2017-01-27 16:00,전라남도,여수시,호명동,38.3,8.1,주의보
2017-01-27 16:00,전라남도,여수시,돌산읍,33.1,7.1,주의보
2017-01-27 16:00,전라남도,여수시,돌산읍,34.6,8.1,주의보
2017-01-27 16:00,전라남도,여수시,소라면,41.8,7,주의보
2017-01-27 16:00,전라남도,여수시,소라면,41.2,8.3,주의보
2017-01-27 16:00,전라남도,여수시,소라면,40.9,8.2,주의보
2017-01-27 17:00,전라남도,여수시,평여동,40.8,7.1,주의보
2017-01-27 17:00,전라남도,여수시,호명동,37.9,7.1,주의보
2017-01-27 19:00,전라남도,여수시,돌산읍,33.8,7,주의보
2017-01-27 20:00,전라남도,여수시,돌산읍,33.7,7,주의보
2017-01-30 13:00,경상남도,창원시 진해구,현동,44.6,8.1,주의보
2017-01-30 16:00,울산광역시,울주군,두동면,44.6,7.4,주의보
2017-02-01 6:00,전라남도,여수시,돌산읍,38.3,7.8,주의보
2017-02-01 12:00,충청남도,태안군,태안읍,43.6,7.9,주의보
2017-02-01 14:00,전라남도,여수시,경호동,35.4,8,주의보
2017-02-01 14:00,전라남도,여수시,소라면,40.2,7.1,주의보
2017-02-01 14:00,경상북도,경주시,천군동,39.3,7.1,주의보
2017-02-01 15:00,전라남도,여수시,오림동,37,8.3,주의보
2017-02-01 15:00,전라남도,여수시,경호동,35.1,7.9,주의보
2017-02-01 15:00,전라남도,여수시,신기동,39.2,8.2,주의보
2017-02-01 15:00,전라남도,여수시,평여동,40.6,8.2,주의보
2017-02-01 15:00,전라남도,여수시,호명동,38.4,8.3,주의보
2017-02-01 15:00,전라남도,여수시,돌산읍,38.5,7.6,주의보
2017-02-01 15:00,전라남도,여수시,돌산읍,34,8.2,주의보
2017-02-01 15:00,전라남도,여수시,돌산읍,34,8,주의보
2017-02-01 15:00,전라남도,여수시,소라면,39.9,8,주의보
2017-02-01 15:00,전라남도,여수시,소라면,39.1,7.2,주의보
2017-02-01 15:00,전라남도,여수시,소라면,40.1,7.8,주의보
2017-02-01 15:00,전라남도,여수시,화양면,39.9,7.1,주의보
2017-02-01 16:00,전라남도,여수시,오림동,36.8,8.8,주의보
2017-02-01 16:00,전라남도,여수시,경호동,34.9,8.1,주의보
2017-02-01 16:00,전라남도,여수시,돌산읍,38.3,7.1,주의보
2017-02-01 16:00,전라남도,여수시,돌산읍,33.8,7.8,주의보
2017-02-01 16:00,전라남도,여수시,돌산읍,33.8,8.1,주의보
2017-02-01 16:00,전라남도,여수시,소라면,38.9,7.6,주의보
2017-02-01 16:00,전라남도,여수시,소라면,39.7,8.5,주의보
2017-02-01 16:00,전라남도,여수시,소라면,39.9,8.3,주의보
2017-02-01 16:00,전라남도,여수시,소라면,39.4,7.4,주의보
2017-02-01 17:00,전라남도,여수시,오림동,36.6,8,주의보
2017-02-01 17:00,전라남도,여수시,경호동,34.8,7.3,주의보
2017-02-01 17:00,전라남도,여수시,돌산읍,37.5,9,주의보
2017-02-01 17:00,전라남도,여수시,돌산읍,33.6,7.4,주의보
2017-02-01 17:00,전라남도,여수시,돌산읍,33.6,7.2,주의보
2017-02-01 17:00,전라남도,여수시,소라면,39.8,8.2,주의보
2017-02-01 17:00,전라남도,여수시,소라면,39.6,8.3,주의보
2017-02-01 17:00,전라남도,여수시,소라면,38.7,7.8,주의보
2017-02-01 17:00,전라남도,여수시,소라면,39.3,7.6,주의보
2017-02-01 17:00,전라남도,여수시,화양면,39.5,7.1,주의보
2017-02-01 17:00,전라남도,순천시,별량면,38.1,7,주의보
2017-02-01 18:00,전라남도,여수시,돌산읍,33.4,7.3,주의보
2017-02-01 18:00,전라남도,여수시,돌산읍,37.4,8,주의보
2017-02-01 19:00,전라남도,여수시,경호동,34.5,7.2,주의보
2017-02-02 10:00,전라남도,여수시,신기동,33.6,7,주의보
2017-02-02 10:00,전라남도,여수시,돌산읍,32.7,9.8,주의보
2017-02-02 10:00,전라남도,여수시,소라면,32.8,7.3,주의보
2017-02-02 10:00,전라남도,여수시,소라면,33.4,7.5,주의보
2017-02-02 10:00,전라남도,여수시,소라면,33.6,7.2,주의보
2017-02-02 10:00,경상북도,울진군,평해읍,41.5,7.6,주의보
2017-02-02 11:00,전라남도,여수시,돌산읍,32.5,7.1,주의보
2017-02-02 11:00,전라남도,보성군,벌교읍,40.8,8,주의보
2017-02-02 11:00,경상북도,울진군,평해읍,41.1,8.3,주의보
2017-02-02 11:00,경상북도,울진군,기성면,41.9,9,주의보
2017-02-02 12:00,강원도,강릉시,박월동,37.4,8.5,주의보
2017-02-02 12:00,전라남도,여수시,돌산읍,34.1,7,주의보
2017-02-02 12:00,전라남도,여수시,돌산읍,32.3,7.7,주의보
2017-02-02 12:00,전라남도,여수시,소라면,32.7,7.2,주의보
2017-02-02 12:00,전라남도,여수시,소라면,33.2,7.6,주의보
2017-02-02 12:00,전라남도,여수시,소라면,32.5,8,주의보
2017-02-02 12:00,전라남도,여수시,화양면,34.9,7.2,주의보
2017-02-02 12:00,전라남도,여수시,화양면,35.1,7.3,주의보
2017-02-02 12:00,전라남도,여수시,화양면,34.4,7.6,주의보
2017-02-02 12:00,전라남도,여수시,화정면,36.9,7,주의보
2017-02-02 12:00,전라남도,여수시,화정면,35.8,7.1,주의보
2017-02-02 12:00,전라남도,순천시,별량면,36.3,7,주의보
2017-02-02 12:00,전라남도,순천시,별량면,32.7,7.2,주의보
2017-02-02 12:00,전라남도,보성군,벌교읍,40.2,9.6,주의보
2017-02-02 12:00,경상북도,김천시,어모면,41.2,7.3,주의보
2017-02-02 12:00,경상북도,울진군,평해읍,40.7,7.4,주의보
2017-02-02 12:00,경상북도,울진군,기성면,41.5,8.3,주의보
2017-02-02 12:00,경상북도,울진군,기성면,41.3,7.2,주의보
2017-02-02 12:00,경상북도,울진군,온정면,40.9,7.1,주의보
2017-02-02 13:00,강원도,강릉시,박월동,37.1,9.2,주의보
2017-02-02 13:00,강원도,강릉시,구정면,32,7.2,주의보
2017-02-02 13:00,전라남도,여수시,오림동,31.8,8.9,주의보
